n,gap_g1p5,gap_g1,gap_g0p5
2.000000000000000000e+00,2.162277660168379523e+00,1.236067977499789583e+00,4.142135623730952010e-01
3.000000000000000000e+00,1.779615680331644301e+00,8.900837358252575715e-01,1.939365664746304230e-01
4.000000000000000000e+00,1.566416443232011568e+00,6.945927106677212137e-01,9.478758774307412260e-02
5.000000000000000000e+00,1.432982210773555254e+00,5.692593530931406853e-01,4.703669636358425582e-02
6.000000000000000000e+00,1.342946997711943258e+00,4.821467210212923571e-01,2.346188555515757793e-02
7.000000000000000000e+00,1.278909765481213157e+00,4.181138530706142165e-01,1.172232914114984884e-02
8.000000000000000000e+00,1.231547588490711220e+00,3.690734378532081750e-01,5.859889207591791917e-03
9.000000000000000000e+00,1.195440592722712969e+00,3.303173818893292424e-01,2.929760147831954147e-03
1.000000000000000000e+01,1.167237577463529963e+00,2.989203743456970708e-01,1.464853878313830205e-03
1.100000000000000000e+01,1.144764128511374324e+00,2.729696534586837364e-01,7.324232719906509804e-04
1.200000000000000000e+01,1.126553657404513409e+00,2.511620781172534400e-01,3.662111284942136087e-04
1.300000000000000000e+01,1.111584967707028415e+00,2.325793156419031782e-01,1.831054946706322584e-04
1.400000000000000000e+01,1.099127753352519665e+00,2.165556343416699947e-01,9.155273787058062888e-05
1.500000000000000000e+01,1.088647728625589117e+00,2.025966753548507915e-01,4.577636765637164561e-05
1.600000000000000000e+01,1.079746269222557231e+00,1.903276632949690017e-01,2.288818365652890737e-05
1.700000000000000000e+01,1.072120826927170700e+00,1.794593214020594740e-01,1.144409180541670047e-05
1.800000000000000000e+01,1.065538277622447350e+00,1.697648127845930444e-01,5.722045899869345670e-06
1.900000000000000000e+01,1.059816560400603569e+00,1.610637604376605470e-01,2.861022949544360900e-06
2.000000000000000000e+01,1.054811769729591564e+00,1.532109347601412486e-01,1.430511474720464006e-06
2.100000000000000000e+01,1.050408916201470699e+00,1.460880922306350693e-01,7.152557373534014236e-07
2.200000000000000000e+01,1.046515205588384845e+00,1.395979868100036825e-01,3.576278687719492491e-07
2.300000000000000000e+01,1.043055078115248779e+00,1.336599080306981047e-01,1.788139343858564634e-07
2.400000000000000000e+01,1.039966498286172714e+00,1.282063102866206061e-01,8.940696709676462092e-08
2.500000000000000000e+01,1.037198146407873889e+00,1.231802342246813564e-01,4.470348354838029214e-08
2.600000000000000000e+01,1.034707269096836191e+00,1.185333112902389324e-01,2.235174158189361288e-08
2.700000000000000000e+01,1.032458017374407122e+00,1.142242031747851133e-01,1.117587059865049989e-08
2.800000000000000000e+01,1.030420149654941442e+00,1.102173694726481384e-01,5.587935347399313761e-09
2.900000000000000000e+01,1.028568010686595979e+00,1.064820857510992147e-01,2.793967673699656467e-09
3.000000000000000000e+01,1.026879721221714892e+00,1.029916546199543675e-01,1.396983932997962481e-09
3.100000000000000000e+01,1.025336530070395158e+00,9.972276695229159715e-02,6.984919664989812407e-10
3.200000000000000000e+01,1.023922292341293616e+00,9.665498094452912303e-02,3.492459832494905687e-10
