T,P_linear,P_local
1.000000000000000000e+00,3.387824543391604326e-01,3.969475874309865149e-01
2.000000000000000000e+00,4.854278144012187379e-01,5.701745996530332983e-01
3.000000000000000000e+00,5.851256839890319750e-01,6.402010097834559543e-01
4.000000000000000000e+00,6.708602616717882494e-01,7.902218524844422110e-01
5.000000000000000000e+00,7.420365344023062137e-01,9.076556708274645668e-01
7.000000000000000000e+00,8.324802443477656855e-01,9.853075707006493378e-01
1.000000000000000000e+01,9.032905457453824782e-01,9.693718586163729833e-01
1.500000000000000000e+01,9.752626353365736467e-01,9.893209990072170390e-01
2.000000000000000000e+01,9.923595062799922539e-01,9.821000597723971159e-01
3.000000000000000000e+01,9.991391867868716359e-01,9.973961163968850796e-01
4.000000000000000000e+01,9.999503577060878667e-01,9.987482403821569266e-01
6.000000000000000000e+01,9.999818306558281300e-01,9.988959660419304276e-01
8.000000000000000000e+01,9.999889288669737697e-01,9.996823938599708192e-01
1.200000000000000000e+02,9.999935844869924928e-01,9.998564886874192759e-01
