s,E0,E1,E2,E3,gap,K
0.000000000000000000e+00,-2.000000000000000000e+00,-4.510281037539698445e-17,-0.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,8.838834764831855761e-02
5.000000000000000104e-04,-1.999000078171902395e+00,-4.999999843597092986e-04,5.000000000000000104e-04,1.999000078156261573e+00,1.998500078187542606e+00,8.862072933469827829e-02
1.000000000000000021e-03,-1.998000312875444884e+00,-9.999998747496326515e-04,1.000000000000000021e-03,1.998000312750194851e+00,1.997000313000695249e+00,8.885383730819576553e-02
1.500000000000000031e-03,-1.997000704392878578e+00,-1.499999576856581073e-03,1.499999999999999381e-03,1.997000703969735280e+00,1.995500704816022042e+00,8.908767418595676946e-02
2.000000000000000042e-03,-1.996001253007126053e+00,-1.999998995988219643e-03,2.000000000000000042e-03,1.996001252003114068e+00,1.994001254011137814e+00,8.932224259566846902e-02
2.500000000000000052e-03,-1.995001959001782454e+00,-2.499998037073402745e-03,2.499999999999999618e-03,1.995001957038856188e+00,1.992501960964708996e+00,8.955754517560531036e-02
3.000000000000000062e-03,-1.994002822661117280e+00,-2.999996604660263265e-03,3.000000000000000496e-03,1.994002819265777493e+00,1.991002826056456954e+00,8.979358457467492838e-02
3.500000000000000073e-03,-1.993003844270075708e+00,-3.499994602915655964e-03,3.500000000000000507e-03,1.993003838872991373e+00,1.989503849667159985e+00,9.003036345246470673e-02
4.000000000000000083e-03,-1.992005024114281708e+00,-3.999991935622069020e-03,4.000000000000000083e-03,1.992005016049903432e+00,1.988005032178659537e+00,9.026788447928825454e-02
4.500000000000000527e-03,-1.991006362480038927e+00,-4.499988506178169596e-03,4.500000000000000527e-03,1.991006350986217033e+00,1.986506373973860651e+00,9.050615033623243821e-02
5.000000000000000104e-03,-1.990007859654333133e+00,-4.999984217595172635e-03,4.999999999999999237e-03,1.990007843871928861e+00,1.985007875436737956e+00,9.074516371520420510e-02
5.499999999999999681e-03,-1.989009515924835991e+00,-5.499978972498319706e-03,5.500000000000000548e-03,1.989009494897334918e+00,1.983509536952337671e+00,9.098492731897724062e-02
6.000000000000000125e-03,-1.988011331579903951e+00,-5.999972673122732150e-03,6.000000000000000992e-03,1.988011304253026523e+00,1.982011358906781151e+00,9.122544386124023519e-02
6.500000000000000569e-03,-1.987013306908580246e+00,-6.499965221313316541e-03,6.500000000000001436e-03,1.987013272129893648e+00,1.980513341687266893e+00,9.146671606664490140e-02
7.000000000000000146e-03,-1.986015442200601999e+00,-6.999956518523083732e-03,7.000000000000001013e-03,1.986015398719125358e+00,1.979015485682078967e+00,9.170874667085174292e-02
7.499999999999999722e-03,-1.985017737746395339e+00,-7.499946465811685621e-03,7.499999999999999722e-03,1.985017684212207367e+00,1.977517791280583692e+00,9.195153842058040317e-02
8.000000000000000167e-03,-1.984020193837082280e+00,-7.999934963843765429e-03,8.000000000000000167e-03,1.984020128800926042e+00,1.976020258873238511e+00,9.219509407365709952e-02
8.500000000000000611e-03,-1.983022810764479615e+00,-8.499921912888541362e-03,8.500000000000000611e-03,1.983022732677368394e+00,1.974522888851591107e+00,9.243941639906287644e-02
9.000000000000001055e-03,-1.982025588821105133e+00,-8.999907212816229615e-03,9.000000000000001055e-03,1.982025496033921641e+00,1.973025681608288950e+00,9.268450817698223321e-02
9.499999999999999764e-03,-1.981028528300174951e+00,-9.499890763098770355e-03,9.499999999999998029e-03,1.981028419063273427e+00,1.971528637537076190e+00,9.293037219885279254e-02
1.000000000000000021e-02,-1.980031629495607959e+00,-9.999872462807044352e-03,9.999999999999998473e-03,1.980031501958414708e+00,1.970031757032800979e+00,9.317701126741405326e-02
1.050000000000000065e-02,-1.979034892702028259e+00,-1.049985221060989807e-02,1.049999999999999892e-02,1.979034744912638200e+00,1.968535040491418364e+00,9.342442819675630949e-02
1.099999999999999936e-02,-1.978038318214764724e+00,-1.099982990477305772e-02,1.100000000000000110e-02,1.978038148119537709e+00,1.967038488309991617e+00,9.367262581237138785e-02
1.149999999999999981e-02,-1.977041906329857879e+00,-1.149980544315608137e-02,1.150000000000000154e-02,1.977041711773013910e+00,1.965542100886701782e+00,9.392160695120141400e-02
1.200000000000000025e-02,-1.976045657344057460e+00,-1.199977872321274924e-02,1.200000000000000198e-02,1.976045436067269900e+00,1.964045878620844787e+00,9.417137446168885595e-02
1.250000000000000069e-02,-1.975049571554824634e+00,-1.249974964198843734e-02,1.250000000000000243e-02,1.975049321196812979e+00,1.962549821912836112e+00,9.442193120382817717e-02
1.300000000000000114e-02,-1.974053649260337773e+00,-1.299971809611897254e-02,1.300000000000000287e-02,1.974053367356456423e+00,1.961053931164218778e+00,9.467328004921447826e-02
1.349999999999999985e-02,-1.973057890759491562e+00,-1.349968398182901409e-02,1.349999999999999464e-02,1.973057574741320375e+00,1.959558206777662459e+00,9.492542388109585783e-02
1.400000000000000029e-02,-1.972062296351898558e+00,-1.399964719493057563e-02,1.399999999999999509e-02,1.972061943546828733e+00,1.958062649156967927e+00,9.517836559442348354e-02
1.450000000000000074e-02,-1.971066866337894075e+00,-1.449960763082153506e-02,1.449999999999999553e-02,1.971066473968715815e+00,1.956567258707072599e+00,9.543210809590274568e-02
